2013-07-19,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
1552-T,VIX短期,東証,その他,1680,1729,1679,1701,327108,554793660
1554-T,上場MS世,東証,その他,1349,1353,1335,1345,16160,21788840
1555-T,上場Aリート,東証,その他,1277,1277,1272,1277,1880,2397320
1556-T,上場日中,東証,その他,1221,1221,1211,1211,420,510820
1557-T,SPDR500,東証,その他,16860,16990,16690,16900,1762,29743340
1559-T,タイSET50,東証,その他,3050,3090,3040,3065,5433,16608745
1560-T,ブルサKLCI,東証,その他,5640,5720,5640,5690,1262,7129890
1561-T,VIX中期,東証,その他,50900,51600,50900,51100,26,1336300
1562-T,YMアジ日,東証,その他,-,-,-,-,0,0
1563-T,マザーズコア,東証,その他,1675,1678,1611,1628,19664,32269057
1565-T,日経カバコ,東証,その他,13680,13700,13400,13520,531,7158630
1566-T,上場EM債,東証,その他,62400,62400,61800,62000,91,5660900
1567-T,MXSリスク5,東証,その他,1119,1119,1107,1107,20,22260
1568-T,TPX2倍,東証,その他,20690,20800,19620,20080,604310,12201350800
1569-T,TPX-1倍,東証,その他,6130,6300,6110,6240,156390,969038400
1570-T,日経レバ,東証,その他,10040,10110,9360,9630,9767230,94602141450
1571-T,日経インバ,東証,その他,3425,3550,3415,3505,648838,2266442255
1572-T,H株ブル,東証,その他,9470,9470,9210,9230,1400,13071200
1573-T,H株ベア,東証,その他,13190,13360,13190,13290,2810,37309900
1574-T,MXSリスク10,東証,その他,1353,1353,1353,1353,10,13530
1575-T,中国A300,東証,その他,365,365,364,364,110,40050
1576-T,南方A50,東証,その他,350,350,346,346,1140,398480
1577-T,高配当70,東証,その他,17650,17700,17310,17380,3760,65663150
1578-T,上場225M,東証,その他,1221,1221,1150,1167,1141,1346013
1579-T,日経2倍,東証,その他,10530,10600,9830,10100,439780,4463385400
1580-T,日経-1倍,東証,その他,9210,9550,9200,9420,53700,502724600
1581-T,iS先進国,東証,その他,4820,4835,4715,4775,10936,52331455
1582-T,iSエマージン,東証,その他,4760,4760,4730,4730,4755,22586605
1583-T,iSフロンティア,東証,その他,3150,3160,3135,3145,11183,35192930
1605-T,国際帝石,東証1部,鉱業,459500,460500,448000,455500,12577,5716865500
1606-T,海洋掘削,東証1部,鉱業,7810,7840,7400,7620,480000,3647943000
1610-T,ETF･電機,東証,その他,1403,1403,1403,1403,10,14030
1612-T,ETF･銀行,東証,その他,178,180,177,177,9000,1606000
1613-T,電機,東証,その他,1421,1421,1378,1379,1450,2007640
1615-T,銀行,東証,その他,192,193,188,190,2710600,514619000
1617-T,食品,東証,その他,21390,21390,21060,21060,6,127650
1618-T,エネ資源,東証,その他,11940,12020,11720,11880,320,3816180
1619-T,建設資材,東証,その他,16110,16220,15800,15860,836,13322990
1620-T,素材化学,東証,その他,13590,13590,13300,13400,33,445810
1621-T,医薬品,東証,その他,14510,14530,14280,14380,149,2156100
1622-T,自動車,東証,その他,20900,20950,20480,20820,2133,44307520
1623-T,鉄鋼非鉄,東証,その他,20180,20200,19700,19750,63,1255820
1624-T,機械,東証,その他,25120,25120,24350,24560,14,346130
1625-T,電機精密,東証,その他,11120,11160,10880,10880,282,3095500
1626-T,情通サ他,東証,その他,12610,12710,12320,12500,536,6768770
1627-T,電力ガス,東証,その他,8170,8220,7950,8120,1436,11632630
1628-T,運輸物流,東証,その他,13190,13260,13050,13130,54,710950
1629-T,商社卸売,東証,その他,22470,22500,21860,22230,108,2409360
1630-T,小売,東証,その他,14640,14640,14360,14360,67,972480
1631-T,銀行・17,東証,その他,11440,11490,11300,11390,1213,13877560
1632-T,金融,東証,その他,11800,11800,11500,11620,319,3728280
1633-T,不動産,東証,その他,33800,34100,33250,33650,2015,67814350
1634-T,ダイワ食品,東証,その他,21660,21660,21360,21360,5,108000
